Date,CPI Report
2024-03-12,312.332
2024-04-10,313.548
2024-05-15,314.069
2024-06-12,314.175
2024-07-11,314.540
2024-08-14,314.796
2024-09-11,315.301
2024-10-10,315.664
2024-11-13,315.493
2024-12-11,315.605
